case_reference,previousFRCKey,previousFRCValue,previousCourtListKey,previousCourtListValue
1683705891724334,southEastFRCList,"bedfordshire",bedfordshireCourtList,"FR_bedfordshireList_7"
1691745531585588,walesFRCList,"northwales",northWalesCourtList,"FR_northwalesList_3"
1696589439169458,southEastFRCList,"kent",kentSurreyCourtList,"FR_kent_surreyList_4"
1697039299695175,southEastFRCList,"kent",kentSurreyCourtList,"FR_kent_surreyList_4"
1698399759375299,southEastFRCList,"kent",kentSurreyCourtList,"FR_kent_surreyList_4"
1698827987729796,northWestFRCList,"lancashire",lancashireCourtList,"FR_lancashireList_7"
1698828137472709,londonFRCList,"london",londonCourtList,"FR_londonList_1"
1698855144858349,londonFRCList,"london",londonCourtList,"FR_londonList_1"
1698863042764064,londonFRCList,"london",londonCourtList,"FR_londonList_1"
1698923461836940,londonFRCList,"london",londonCourtList,"FR_londonList_1"
1699359537862850,walesFRCList,"newport",newportCourtList,"FR_newportList_2"
1699876553204105,southWestFRCList,"devon",devonCourtList,"FR_devonList_8"
1699880588984244,midlandsFRCList,"birmingham",birminghamCourtList,"FR_birminghamList_3"
